student_id,student_name,gender,class_id,student_tag,pretest_score,standard_exam_score,process_understanding,variable_selection,modelling_workflow,model_evaluation,engineering_recommendation,report_score,total_experiment_attempts,process_familiarisation_attempts,total_experiment_time,effective_modelling_time,total_inter_attempt_interval,first_practice_score,final_practice_score,best_practice_score,practice_score_gain,practice_gain_ratio,valid_modelling_attempts,engineering_test_score,test_score_gain,test_gain_ratio,instructional_design_condition,reported_model,reported_R2,reported_computation_time,reported_prediction_error,model_revision_rounds,selected_highest_R2_model,mean_practice_time,consecutive_improvement_count,improving_transition_ratio
***,***,F,C3,General,14,100,6,8,13,10,10,47,4,3,62.7333,40,19916,89,89,89,0,0,3,76,-13,-0.146067416,A,J,0.9965,5.64,1.5,1,Y,13.33333333,1,0.333333333
***,***,F,C3,General,13,96,6,10,14,10,10,50,12,9,122.85,60.2333,19872,71,61,71,0,0,5,74,3,0.042253521,A,J,0.9116,4.07,1.55,2,Y,12.04666,1,0.2
***,***,F,C3,General,12,95,12,14,15,16,13,70,3,3,45.0167,40,115.6833,47,82,90,43,0.914893617,2,88,-2,-0.022222222,A,J,0.9177,4.01,1.49,3,N,20,1,0.5
***,***,F,C3,General,14,92,16,18,15,14,15,78,3,0,87.0333,87.0333,17482,82,82,82,0,0,5,100,18,0.219512195,A,G,0.9174,4,1.5,4,Y,17.40666,1,0.2
***,***,F,C3,General,14,94,12,14,14,18,12,70,5,3,103.5667,80,42948,80,88,88,8,0.1,4,95,7,0.079545455,A,J,0.9993,5.77,0.38,2,Y,20,2,0.5
***,***,F,C3,General,11,100,14,15,14,18,14,75,3,2,54.3333,40,123.1333,91,91,91,0,0,3,97,6,0.065934066,A,J,0.898,1.38,1.71,3,N,13.33333333,1,0.333333333
***,***,F,C3,Ethnic minority student,15,100,10,12,15,11,11,59,3,1,88.4333,76.8333,18833,80,90,90,10,0.125,4,87,-3,-0.033333333,A,G,0.898,1.38,1.71,3,N,19.208325,2,0.5
***,***,M,C3,General,11,99,6,6,6,6,8,32,1,0,28.5,28.5,28.5,87,87,87,0,0,3,64,-23,-0.264367816,A,G,0.711,1.41,5.54,1,Y,9.5,1,0.333333333
***,***,M,C3,ethnic minorities for both parents,11,92,12,15,15,12,17,71,1,0,27.3667,27.3667,27.3667,80,80,80,0,0,3,86,6,0.075,A,G,0.9,1.17,2.09,4,Y,9.122233333,1,0.333333333
***,***,M,C3,General,9,92,14,16,15,18,14,77,1,0,40,40,40,84,84,84,0,0,3,95,11,0.130952381,A,J,0.91,3.58,1.77,3,N,13.33333333,1,0.333333333
***,***,M,C3,General,10,100,16,14,15,19,16,80,3,0,50.3333,50.3333,53.8833,82,85,85,3,0.036585366,5,97,12,0.141176471,A,J,0.92,3.32,1.77,6,N,10.06666,3,0.6
***,***,M,C3,Ethnic minority student,14,100,15,14,14,18,14,75,13,9,207.6167,124.9667,62104,87,79,88,1,0.011494253,6,100,12,0.136363636,A,J,0.9179,4.2,1.5,2,N,20.82778333,2,0.333333333
***,***,M,C3,General,13,100,10,10,15,12,12,59,2,2,12.4833,0,19764,62,82,82,20,0.322580645,2,76,-6,-0.073170732,A,J,0.9997,4.99,0.15,5,Y,0,1,0.5
***,***,M,C3,ethnic minorities for both parents,9,100,15,16,15,18,14,78,2,1,48.9833,40,108.1833,87,87,87,0,0,3,94,7,0.08045977,A,J,0.9,3.79,1.66,4,Y,13.33333333,1,0.333333333
***,***,M,C3,General,6,100,14,16,14,17,14,75,5,4,64.2833,40,138.2333,88,88,88,0,0,3,96,8,0.090909091,A,J,0.9181,4.1,1.47,4,Y,13.33333333,1,0.333333333
***,***,M,C3,General,7,90,6,6,6,6,10,34,6,3,82.4333,64.1167,1482.5,66,68,68,2,0.03030303,5,60,-8,-0.117647059,A,G,0.81,1.58,4.55,2,Y,12.82334,1,0.2
***,***,M,C3,General,6,90,10,12,14,14,10,60,6,2,101.0667,67.5833,167.7667,53,81,83,30,0.566037736,6,80,-3,-0.036144578,A,J,0.95,4.88,1.21,2,N,11.26388333,3,0.5
***,***,M,C3,General,9,99,6,9,14,10,12,51,2,0,80,80,88.2333,81,82,82,1,0.012345679,4,76,-6,-0.073170732,A,J,0.9982,5.52,1.21,2,Y,20,2,0.5
***,***,M,C3,Ethnic minority student,13,95,7,9,14,10,13,53,3,0,93.15,93.15,117.9833,59,80,80,21,0.355932203,5,79,-1,-0.0125,A,J,0.9173,3.95,1.49,3,Y,18.63,3,0.6
***,***,F,C3,General,6,100,10,12,14,14,12,62,6,5,70.7167,40,488.9667,85,85,85,0,0,3,86,1,0.011764706,A,G,0.77,1.22,4.82,1,Y,13.33333333,3,1
***,***,F,C3,General,14,95,10,10,16,12,13,61,10,7,135.85,89.7,19814,60,61,61,1,0.016666667,5,76,15,0.245901639,A,G,0.52,1.41,6.71,1,Y,17.94,1,0.2
***,***,F,C3,General,8,100,10,12,14,12,14,62,2,1,47.3833,40,40,87,87,87,0,0,3,84,-3,-0.034482759,A,G,0.9999,1.92,0.06,2,Y,13.33333333,3,1
***,***,F,C4,Ethnic minority student,13,100,10,10,15,14,14,63,3,2,51.7667,36.3333,36.3333,93,93,93,0,0,3,88,-5,-0.053763441,R,J,0.8226,4.01,2.09,2,Y,12.1111,1,0.333333333
***,***,F,C4,General,11,100,11,12,14,11,11,59,3,2,52.95,40,40,93,93,93,0,0,3,79,-14,-0.150537634,R,G,0.87,1.18,1.91,3,Y,13.33333333,1,0.333333333
***,***,F,C4,General,13,100,8,10,14,8,10,50,7,6,78.4,40,6890.8,84,84,84,0,0,3,61,-23,-0.273809524,R,G,0.8815,1.42,3.25,2,Y,13.33333333,1,0.333333333
***,***,F,C4,Ethnic minority student,11,100,14,16,15,18,15,78,3,2,51.2167,38.5833,38.5833,93,93,93,0,0,3,95,2,0.021505376,R,G,0.91,1.84,1.52,2,Y,12.8611,1,0.333333333
***,***,F,C4,General,14,100,12,16,15,12,14,69,4,2,90,70.0167,29637,68,86,86,18,0.264705882,4,87,1,0.011627907,R,J,0.9115,4.29,3.25,3,Y,17.504175,1,0.25
***,***,F,C4,General,12,100,10,17,14,11,15,67,3,2,58.8667,40,5322.1,83,83,83,0,0,3,80,-3,-0.036144578,R,J,0.998,4.55,0.09,3,Y,13.33333333,1,0.333333333
***,***,F,C4,General,12,100,8,15,14,11,12,60,3,2,51.9167,40,32709,56,56,56,0,0,3,71,15,0.267857143,R,J,0.9999,4.16,0.05,3,Y,13.33333333,1,0.333333333
***,***,F,C4,General,9,100,12,14,18,12,18,74,7,4,115.3333,84.7333,8108.6,66,89,89,23,0.348484848,5,90,1,0.011235955,R,J,0.89,3.52,1.62,3,Y,16.94666,3,0.6
***,***,M,C4,General,7,93,14,15,16,12,12,69,3,2,55.7167,40,43.9,85,85,85,0,0,3,85,0,0,R,J,0.9999,4.5,0.07,4,Y,13.33333333,1,0.333333333
***,***,M,C4,General,8,100,14,18,16,12,14,74,4,3,57.7167,40,1066.2,89,89,89,0,0,3,91,2,0.02247191,R,J,0.9988,4.17,0.19,7,Y,13.33333333,1,0.333333333
***,***,M,C4,General,9,97,12,12,14,18,14,70,3,2,57.2333,31.2333,31.2333,82,82,82,0,0,3,85,3,0.036585366,R,J,0.9999,3.92,0.06,4,Y,10.4111,1,0.333333333
***,***,M,C4,General,13,100,16,18,18,19,18,89,4,2,93.6667,80,31962,46,56,56,10,0.217391304,4,95,39,0.696428571,R,J,0.95,3.88,1.41,3,N,20,1,0.25
***,***,M,C4,General,14,97,14,12,15,12,14,67,5,3,70.2833,52.1667,113.6167,63,72,72,9,0.142857143,4,82,10,0.138888889,R,J,0.9093,4.22,1.59,5,Y,13.041675,2,0.5
***,***,M,C4,General,10,92,6,10,12,8,10,46,8,5,193.5667,116.7833,43174,82,10,82,0,0,5,60,-22,-0.268292683,R,J,0.97,3.99,0.12,3,N,23.35666,2,0.4
***,***,M,C4,General,11,100,14,18,18,18,16,84,4,3,57.5667,40,87.6333,80,80,80,0,0,3,97,17,0.2125,R,G,0.69,1.21,8.97,3,Y,13.33333333,1,0.333333333
***,***,M,C4,General,11,99,10,12,14,10,12,58,4,3,90.5333,40,31503,54,54,54,0,0,3,71,17,0.314814815,R,J,0.92,4.09,1.51,3,N,13.33333333,1,0.333333333
***,***,M,C4,General,8,90,18,18,20,20,19,95,3,2,19.9333,8.3833,43.9167,57,57,57,0,0,3,100,43,0.754385965,R,J,0.999,4.11,0.17,2,Y,2.794433333,1,0.333333333
***,***,M,C4,Ethnic minority student,10,100,12,10,14,12,10,58,5,3,100.35,80,85.95,78,86,86,8,0.102564103,4,75,-11,-0.127906977,R,J,0.9249,4.76,1.36,3,N,20,1,0.25
***,***,M,C4,General,7,100,10,12,12,12,9,55,4,2,76.6333,62.6833,87.2333,81,85,85,4,0.049382716,4,72,-13,-0.152941176,R,G,0.82,1.29,3.41,3,Y,15.670825,2,0.5
***,***,M,C4,General,11,100,12,12,16,14,14,68,7,3,130.5667,91.6833,132.4667,54,87,90,36,0.666666667,6,81,-9,-0.1,R,J,0.9818,3.74,0.24,3,Y,15.28055,2,0.333333333
***,***,M,C4,General,12,99,16,14,18,20,18,86,3,2,30.0833,15.6833,40.8167,66,66,66,0,0,3,99,33,0.5,R,J,0.8538,4.18,1.37,3,Y,5.227766667,3,1
***,***,F,C4,General,9,100,14,16,14,15,12,71,3,1,56.75,49.3833,33052,68,68,68,0,0,4,84,16,0.235294118,R,J,0.93,4.73,1.41,3,Y,12.345825,1,0.25
***,***,F,C4,Ethnic minority student,9,95,16,16,17,14,15,78,5,3,90.4833,51.4333,30324,92,89,92,0,0,4,97,5,0.054347826,R,G,0.81,1.91,2.17,2,Y,12.858325,2,0.5
***,***,F,C4,Ethnic minority student,8,100,16,16,17,14,15,78,13,9,200.7167,146.05,29010,84,88,91,7,0.083333333,6,95,4,0.043956044,R,J,0.956,4.79,0.77,2,N,24.34166667,1,0.166666667
***,***,F,C4,Ethnic minority student,12,98,15,14,18,13,14,74,6,3,105.2667,88.1667,7220.5,93,89,93,0,0,5,91,-2,-0.021505376,R,G,0.71,1.42,7.19,1,Y,17.63334,2,0.4
***,***,F,C4,General,11,100,8,10,14,12,10,54,7,2,111.8,88.5167,7060.4,52,65,83,31,0.596153846,7,75,-8,-0.096385542,R,J,0.9811,5.71,0.67,4,Y,12.64524286,2,0.285714286
***,***,F,C4,General,4,100,10,8,14,8,12,52,6,3,110.65,89.55,5348.8,93,85,93,0,0,5,74,-19,-0.204301075,R,J,0.9811,4.79,1.67,2,Y,17.91,4,0.8
***,***,F,C4,General,11,100,12,14,14,15,16,71,7,6,86.3833,40,31767,94,94,94,0,0,3,87,-7,-0.074468085,R,J,0.9899,4.14,0.49,4,Y,13.33333333,1,0.333333333
***,***,F,C4,General,10,96,16,18,18,18,17,87,2,1,45.5333,37.85,37.85,89,89,89,0,0,3,96,7,0.078651685,R,J,0.9249,3.27,1.32,5,Y,12.61666667,1,0.333333333
***,***,F,C4,Ethnic minority student,7,99,12,16,14,14,16,72,11,8,165.2333,120,34616,91,63,91,0,0,5,88,-3,-0.032967033,R,J,0.9379,4.47,1.18,4,N,24,1,0.2
***,***,F,C4,Ethnic minority student,12,95,12,16,14,14,14,70,7,5,48.45,16.3833,273.75,59,88,88,29,0.491525424,4,85,-3,-0.034090909,R,J,0.9014,3.97,1.68,2,Y,4.095825,2,0.5
